doctor,entity_type,patient_num,ranknet_score
fm_1,human,555,0.48610222339630127
fm_1,human,558,0.5940260291099548
fm_1,human,560,1.5301281213760376
fm_1,human,568,-0.9835391640663147
fm_1,human,569,-0.4669259190559387
fm_1,human,571,-1.9133331775665283
fm_1,human,573,-0.7767866253852844
fm_1,human,576,-1.086554765701294
fm_1,human,577,-1.576493740081787
fm_1,human,579,-0.8925435543060303
fm_1,human,581,0.6499380469322205
fm_1,human,582,-0.9025154113769531
fm_1,human,583,0.6674193143844604
fm_1,human,584,-1.043898105621338
fm_1,human,585,-0.006322063505649567
fm_1,human,586,-1.5038537979125977
fm_1,human,588,1.554764986038208
fm_1,human,589,-1.2378376722335815
fm_1,human,590,-0.5614096522331238
fm_1,human,591,-1.801954984664917
fm_1,human,594,0.6499380469322205
fm_1,human,595,0.1858358383178711
fm_1,human,596,-1.2318336963653564
fm_1,human,597,0.01566920429468155
fm_1,human,598,-1.0791670083999634
fm_1,human,599,-1.1248279809951782
fm_1,human,600,-0.05408819019794464
fm_1,human,602,-1.7664806842803955
fm_1,human,604,-1.2156951427459717
fm_1,human,605,-0.9165851473808289
fm_1,human,606,0.15263882279396057
fm_1,human,612,-1.5286049842834473
fm_1,human,614,-1.079226016998291
fm_1,human,616,-0.992030680179596
fm_1,human,618,0.08944589644670486
fm_1,human,619,0.8804479241371155
fm_1,human,622,-1.393803596496582
fm_1,human,627,-1.5225530862808228
fm_1,human,629,-0.8901870846748352
fm_1,human,630,0.3133425712585449
fm_1,human,632,-0.9746822714805603
fm_1,human,634,0.6092458963394165
fm_1,human,635,-1.1016113758087158
fm_1,human,636,-0.6724703907966614
fm_1,human,637,-1.326425552368164
fm_1,human,639,0.7891694903373718
fm_1,human,644,-0.8925435543060303
fm_1,human,645,0.7052549123764038
fm_1,human,650,-0.9315173625946045
fm_1,human,651,-0.9896795153617859
fm_1,human,653,-1.3025941848754883
fm_1,human,654,0.7455579042434692
fm_1,human,656,0.7401326298713684
fm_1,human,657,-0.8901870846748352
fm_1,human,661,1.5121177434921265
fm_1,human,663,0.5090961456298828
fm_1,human,665,0.6698421835899353
fm_1,human,666,-1.4764535427093506
fm_1,human,669,-0.7686416506767273
fm_1,human,670,-0.058307260274887085
fm_1,human,671,-0.9749392867088318
fm_1,human,674,-1.2764873504638672
fm_1,human,678,-0.8669586777687073
fm_1,human,679,-1.2159085273742676
fm_1,human,680,-1.1377053260803223
fm_1,human,683,0.6133658289909363
fm_1,human,688,-1.2764873504638672
fm_1,human,690,0.6332745552062988
fm_1,human,693,1.3068755865097046
fm_1,human,695,-1.321204423904419
fm_1,human,696,0.7943032383918762
fm_1,human,697,-1.0447337627410889
fm_1,human,698,-1.4178335666656494
fm_1,human,704,1.1716375350952148
fm_1,human,706,0.3264780044555664
fm_1,human,707,0.7891694903373718
fm_1,human,708,-1.202402114868164
fm_1,human,709,-0.42164385318756104
fm_1,human,711,0.46109217405319214
fm_1,human,712,0.4109911024570465
fm_1,human,714,-0.7765515446662903
fm_1,human,715,0.39611056447029114
fm_1,human,716,-1.1042234897613525
fm_1,human,717,0.6935148239135742
fm_1,human,718,1.4359183311462402
fm_1,human,722,-0.5134949088096619
fm_1,human,723,0.8023579716682434
fm_1,human,729,0.7564176917076111
fm_1,human,732,-1.00672447681427
fm_1,human,735,-0.7000932693481445
fm_1,human,738,-1.1114723682403564
fm_1,human,741,-1.768615961074829
fm_1,human,742,1.5008153915405273
fm_1,human,746,-0.7604758143424988
fm_1,human,750,1.08928644657135
fm_1,human,754,0.5718643069267273
fm_1,human,757,0.36655449867248535
fm_1,human,758,-0.7727781534194946
fm_1,human,762,0.49680447578430176
fm_1,human,765,-1.1473820209503174
fm_1,human,768,-0.9027915000915527
fm_1,human,774,0.3434574604034424
fm_1,human,775,-1.2623305320739746
fm_1,human,778,0.7532798647880554
fm_1,human,779,-1.9538943767547607
fm_1,human,782,1.3965938091278076
fm_1,human,784,0.5689272284507751
fm_1,human,788,1.2444416284561157
fm_1,human,790,-0.5292125940322876
fm_1,human,793,-0.9050198793411255
fm_1,human,797,1.40449857711792
fm_1,human,798,0.5500748753547668
fm_1,human,799,-1.9133331775665283
fm_1,human,800,-1.862278699874878
fm_1,human,801,-0.7867928743362427
fm_1,human,803,-1.801954984664917
fm_1,human,811,-1.9237134456634521
fm_1,human,812,-1.5023841857910156
fm_1,human,814,-1.5160539150238037
fm_1,human,817,0.6480789184570312
fm_1,human,818,-0.3986334204673767
fm_1,human,821,1.5047491788864136
fm_1,human,823,-1.2108538150787354
fm_1,human,824,-1.8705322742462158
fm_1,human,825,-1.909611463546753
fm_1,human,827,-0.65233314037323
fm_1,human,828,1.1667170524597168
fm_1,human,830,-1.3140718936920166
fm_1,human,833,1.466531753540039
fm_1,human,837,-0.9853079915046692
fm_1,human,838,-1.00672447681427
fm_1,human,846,0.37902528047561646
fm_1,human,850,-1.0815770626068115
fm_1,human,853,-1.2040085792541504
fm_1,human,860,-0.9173140525817871
fm_1,human,866,0.8300557732582092
fm_1,human,867,1.3763291835784912
fm_1,human,868,-1.1953201293945312
fm_1,human,869,-1.3422601222991943
fm_1,human,871,-1.4103472232818604
fm_1,human,873,-1.6120023727416992
fm_1,human,874,-0.4809107780456543
fm_1,human,877,-1.124044418334961
fm_1,human,880,0.465141236782074
fm_1,human,882,0.6283690333366394
fm_1,human,883,-1.6816143989562988
fm_1,human,884,-1.1840806007385254
fm_1,human,885,0.5500748753547668
fm_1,human,886,-0.11356901377439499
fm_1,human,893,-0.26783084869384766
fm_1,human,894,0.044240184128284454
fm_1,human,895,-0.8852714896202087
fm_1,human,896,-1.2623305320739746
fm_1,human,897,-1.2959704399108887
fm_1,human,900,0.7908347845077515
fm_1,human,901,0.4180998206138611
fm_1,human,902,-1.097459316253662
fm_1,human,903,0.5172863006591797
fm_1,human,904,-0.8596070408821106
fm_1,human,905,-1.5310702323913574
fm_1,human,908,-0.9051182866096497
