doctor,group,config,soft_labels,include_paths,include_auto,syn_cap,include_hier,n_hier_pairs,test_accuracy,test_auc
ph_1,public_health,hard_noPath_noAuto_syn10_noHier,False,False,False,10,False,0,0.575,0.5841999999999999
ph_1,public_health,hard_noPath_noAuto_syn10_hier,False,False,False,10,True,18,0.56,0.581975
ph_1,public_health,hard_path_auto_syn0_noHier,False,True,True,0,False,0,0.555,0.57345
ph_1,public_health,hard_path_auto_syn0_hier,False,True,True,0,True,18,0.535,0.59165
ph_1,public_health,hard_path_auto_syn5_noHier,False,True,True,5,False,0,0.575,0.5638
ph_1,public_health,hard_path_auto_syn5_hier,False,True,True,5,True,18,0.565,0.5753
ph_1,public_health,hard_path_auto_syn10_noHier,False,True,True,10,False,0,0.555,0.58135
ph_1,public_health,hard_path_auto_syn10_hier,False,True,True,10,True,18,0.56,0.575775
ph_1,public_health,hard_path_noAuto_syn0_noHier,False,True,False,0,False,0,0.56,0.571225
ph_1,public_health,hard_path_noAuto_syn0_hier,False,True,False,0,True,18,0.545,0.55025
ph_1,public_health,hard_path_noAuto_syn5_noHier,False,True,False,5,False,0,0.545,0.5545
ph_1,public_health,hard_path_noAuto_syn5_hier,False,True,False,5,True,18,0.535,0.56185
ph_1,public_health,hard_path_noAuto_syn10_noHier,False,True,False,10,False,0,0.585,0.59745
ph_1,public_health,hard_path_noAuto_syn10_hier,False,True,False,10,True,18,0.585,0.58805
ph_1,public_health,soft_noPath_auto_syn0_noHier,True,False,True,0,False,0,0.535,0.5566499999999999
ph_1,public_health,soft_noPath_auto_syn0_hier,True,False,True,0,True,18,0.535,0.5611
ph_1,public_health,soft_noPath_auto_syn5_noHier,True,False,True,5,False,0,0.57,0.562975
ph_1,public_health,soft_noPath_auto_syn5_hier,True,False,True,5,True,18,0.54,0.5572750000000001
ph_1,public_health,soft_noPath_auto_syn10_noHier,True,False,True,10,False,0,0.56,0.5768249999999999
ph_1,public_health,soft_noPath_auto_syn10_hier,True,False,True,10,True,18,0.53,0.5525749999999999
ph_1,public_health,soft_noPath_noAuto_syn0_noHier,True,False,False,0,False,0,0.58,0.570075
ph_1,public_health,soft_noPath_noAuto_syn0_hier,True,False,False,0,True,18,0.565,0.5842499999999999
ph_1,public_health,soft_noPath_noAuto_syn5_noHier,True,False,False,5,False,0,0.585,0.5709
